ENTIDAD,Claudia_COMPETITOR_Votes_2024,Xochitl_Opposition_Votes,Maynez_Independant_Votes,Null_Votes,Urban_Polling_Stations,Non_Urban_Polling_Stations,AMLO_2018,GDP_2012,GDP_2018,GDP_2024,Federal_Social_Welfare_Budget,Welfare_Recipents,Sheinbaum_MORENA_Events,Xochitl_Opposition_Events,Maynez_Independant_Events,Average_Schooling_Years,Avg_Income_Yr,Avg_Expense_Yr,Extreme_Poberty_habitants,Poberty_Habitants,Private_Hospital_Users,Public_Hospital_Users,Total_Vehicles,Catholic_Believers,Murders_Yr,Median_Age,Children,Teenagers,Adults,Elders,Total_Population
AGUASCALIENTES,270389,294746,57054,14144,1279,563,190820,242758.41,327926.31,316500.2,495079,51394,3,3,4,10.35,313152,181260,26100,325900,34968,1153954,721372,1159832,88,27,256986,261684,761561,145376,1425607
BAJA CALIFORNIA,862661,290698,132914,30287,4671,703,675810,726418.11,878816.87,929458.73,604660,61194,5,1,1,10.2,355648,201252,49900,461100,176457,2783913,2208801,2187369,2925,30,574174,627987,2187557,379302,3769020
BAJA CALIFORNIA SUR,175755,90838,26581,6443,827,287,136806,147269.7,184618.1,177420.7,472056,46686,2,4,3,10.34,365668,192796,6400,105700,14851,666840,587090,544008,90,29,133230,133134,456475,75608,798447
CAMPECHE,240693,62268,82898,9346,734,496,171328,691262,564591.06,473100.97,536081,55722,5,4,7,9.63,229832,143104,91700,337300,10355,721266,372668,515526,110,29,165244,156308,504195,102616,928363
CHIAPAS,1519559,355592,162166,94634,2519,4354,1106665,370237.3,353600.11,368788.56,2551158,276864,8,4,2,7.78,159380,103772,1607500,2231200,64941,3677747,6368520,2704411,503,24,1053437,1259351,5405537,1491619,9209944
CHIHUAHUA,744823,495324,135550,36676,4601,1160,441965,711480.76,853322.8,919617.14,1235326,132323,6,11,2,10,327716,160384,79800,589300,247512,2975346,1127781,2514110,2157,29,562295,537428,1698511,348537,3146771
CIUDAD DE MEXICO,2978243,1862780,454084,100406,13166,265,2670615,3332208.72,3694574.87,3640387.94,,,398,78,29,11.48,357240,235592,159400,2070700,537244,6352039,397307,6634532,747,35,114318,121464,404052,91557,731391
COAHUILA,813432,595270,84184,34747,3307,836,515518,870634.53,966054.66,922287.37,,,7,4,1,10.43,300504,176020,58800,538300,113714,2487607,1136170,2157764,170,29,1214788,1109709,2711574,507757,5543828
COLIMA,182063,102288,45426,7097,667,362,178123,135599.87,153808.39,148129.75,386882,38358,2,3,2,10.05,277284,172468,9300,149100,12360,606110,1931820,567548,887,30,616247,660048,2045753,419821,3741869
DURANGO,402566,227617,51520,15436,1530,1088,247076,286058.27,308981.25,296963.12,1509159,158018,4,3,2,9.75,228880,142532,117800,523400,22732,1366822,694906,1383653,127,27,346808,333261,943103,209478,1832650
GUANAJUATO,1223770,1057455,278420,57357,5044,3100,608766,892378.88,1120602.84,1128686.27,3228960,336389,9,4,3,9.04,240400,145836,203400,1870300,119487,4805125,2271471,5107664,4329,28,1098440,1101393,3285727,681374,6166934
GUERRERO,1039283,276953,95579,45645,2304,2800,844065,294551.28,317844.94,306830.77,3142321,340995,5,7,1,8.37,167016,122084,800500,1372800,23333,2632011,1447351,2576502,1404,27,700885,675033,1721233,443534,3540685
HIDALGO,1001963,299831,156217,36334,1518,2692,744219,379811.02,418630.44,426819.09,2108249,214434,5,4,1,9.37,212936,136344,214000,1080400,46182,2130675,695875,2285681,390,30,510948,556182,1632036,383675,3082841
