ENTIDAD,Claudia_Events,Xochitl_Events,Maynez_Events
AGUASCALIENTES,3,3,4
BAJA CALIFORNIA,5,1,1
BAJA CALIFORNIA SUR,2,4,3
CAMPECHE,5,4,7
CHIAPAS,8,4,2
CHIHUAHUA,6,11,2
CIUDAD DE MEXICO,398,78,29
COAHUILA,7,4,1
COLIMA,2,3,2
DURANGO,4,3,2
GUANAJUATO,9,4,3
GUERRERO,5,7,1
HIDALGO,5,4,1
JALISCO,13,9,14
MEXICO,20,17,6
MICHOACAN,9,5,2
MORELOS,10,6,3
NAYARIT,3,1,1
NUEVO LEON,15,8,16
OAXACA,7,3,1
PUEBLA,7,3,4
QUERETARO,4,3,1
QUINTANA ROO,4,2,0
SAN LUIS POTOSI,7,1,2
SINALOA,5,2,2
SONORA,6,6,2
TABASCO,5,2,3
TAMAULIPAS,7,8,1
TLAXCALA,1,2,1
VERACRUZ,17,9,2
YUCATAN,15,5,1
ZACATECAS,3,1,3
