COMPETITOR_Votes_2024,Urban_Polling_Stations,Non_Urban_Polling_Stations,AMLO_2018,GDP_2024,Federal_Social_Welfare_Budget,Sheinbaum_MORENA_Events,Average_Schooling_Years,Avg_Income_Yr,Extreme_Poberty_habitants,Poberty_Habitants,Public_Hospital_Users,Total_Vehicles,Catholic_Believers,Murders_Yr,Median_Age,Adults,Total_Population
270389,1279,563,190820,316500,495079,3,10,313152,26,326,1153954,721372,1159832,88,27,761561,1425607
862661,4671,703,675810,929459,604660,5,10,355648,50,461,2783913,2208801,2187369,2925,30,2187557,3769020
175755,827,287,136806,177421,472056,2,10,365668,6,106,666840,587090,544008,90,29,456475,798447
240693,734,496,171328,473101,536081,5,10,229832,92,337,721266,372668,515526,110,29,504195,928363
1519559,2519,4354,1106665,368789,826240,8,8,159380,1608,2231,3677747,6368520,2704411,503,24,5405537,9209944
744823,4601,1160,441965,919617,386882,6,10,327716,80,589,2975346,1127781,2514110,2157,29,1698511,3146771
2978243,13166,265,2670615,3640388,2551158,398,11,357240,159,2071,6352039,397307,6634532,747,35,404052,731391
813432,3307,836,515518,922287,1235326,7,10,300504,59,538,2487607,1136170,2157764,170,29,2711574,5543828
182063,667,362,178123,148130,9277541,2,10,277284,9,149,606110,1931820,567548,887,30,2045753,3741869
402566,1530,1088,247076,296963,1509159,4,10,228880,118,523,1366822,694906,1383653,127,27,943103,1832650
1223770,5044,3100,608766,1128686,3228960,9,9,240400,203,1870,4805125,2271471,5107664,4329,28,3285727,6166934
1039283,2304,2800,844065,306831,3142321,5,8,167016,801,1373,2632011,1447351,2576502,1404,27,1721233,3540685
1001963,1518,2692,744219,426819,2108249,5,9,212936,214,1080,2130675,695875,2285681,390,30,1632036,3082841
1592942,7782,3081,1181823,1783505,4558279,13,10,286976,181,1676,5635979,4369650,6843249,1863,29,4477767,8348151
4916419,16527,4452,3552823,2184863,18896673,20,10,228932,1032,6395,10827568,9421189,12369271,3257,30,9466005,16992418
1033704,3494,2936,820449,646901,2934380,9,9,227836,372,1691,2930541,1950503,3837269,2329,28,2437550,4748846
578230,1956,621,521571,256740,1681672,10,10,228956,118,708,1405667,1195466,1298610,1175,30,1061464,1971520
306423,1110,706,240273,161869,1466501,3,10,261304,81,289,967852,542623,944500,196,29,641759,1235456
1062016,6277,1164,551927,1945060,730338,15,11,344072,65,907,4413414,2686334,4152646,1410,30,3258916,5784442
1367731,2232,3687,1077520,407238,2006353,7,8,173372,860,1624,2918560,1005139,2855785,805,28,2066501,4132148
2066399,5076,3243,1450901,820790,2460353,7,9,197536,766,2861,4572862,1263461,5057571,1089,28,3444284,6583278
585662,1773,1365,350246,592139,841132,4,10,299824,43,494,1821860,820112,1861516,192,29,1339817,2368467
536134,1938,558,334458,357539,503768,4,10,287608,80,437,1341934,988280,942844,647,28,1100962,1857985
773086,2031,1875,413328,537933,1876774,7,10,240576,213,807,2300947,1357909,2218856,759,29,1478479,2822255
782221,3538,1621,632646,516711,1174206,5,10,287552,56,612,2448164,1341447,2196411,587,30,1622714,3026943
674746,2983,916,462120,804668,756531,6,10,301080,51,599,2352956,1552856,2094915,1759,30,1604148,2944840
811270,1531,1580,766515,635465,935361,5,10,208380,273,863,1576238,737187,1372585,354,29,1281904,2402598
910332,3795,1157,607278,746946,946950,7,10,254084,103,860,2740917,1434974,2223753,482,30,1929367,3527735
486946,1283,438,358631,143717,1222596,1,10,185180,93,627,950161,585821,1045600,155,28,707043,1342977
2300252,5796,5189,1780983,1032889,2540337,17,9,178548,1078,3166,5804663,2319548,5615966,787,31,4258766,8062579
696450,2195,769,330914,369864,819399,15,10,249484,133,787,1775984,994656,1597707,55,30,1280439,2320898
369235,1112,1522,307197,221026,1574047,3,9,200544,84,642,1300692,639134,1356905,1459,28,820489,1622138
