Concepto,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019 R,2020 R,2021 R,2022 P
Millones de pesos a precios de 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a  Producto interno bruto, a precios de mercado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,10516029.242000002,11524079.100000001,11518364.73,10985740.805000003,11371715.289999997,11589963.046,11134482.146999998,11364226.952000001,11502672.925000004,11919696.436,12545485.661000002,13044282.249999996,13509782.269999998,13897107.653000003,14507764.340000002,13650311.995,14499128.962000003,15542903.294000002,16504244.130000006,16958941.073000003,17811854.383,17731550.489,17689599.762,17899317.915000003,18537507.51,18929250.875000004,19838803.942,20251027.283999994,20442061.698,19155182.675,20107450.915,20799960.586,21539026.999000005,21722561.396999996,22266442.952000003,22868154.246,23273490.765,23709107.314000003,24176670.378999997,24115905.741,22036016.04,23300708.869999994,24220853.911999997
Aguascalientes,74478.826,82816.058,83133.483,78800.571,82466.825,84980.153,81602.73300000001,84379.078,86482.199,91061.61899999999,97895.019,103728.74100000001,109843.958,114706.122,121683.60999999999,116418.71500000001,124298.764,133594.837,143027.444,145644.385,158299.88400000002,167309.35,174918.428,176576.721,182404.561,185650.54199999996,200318.26500000004,219091.899,218472.947,201960.39600000004,219912.90600000002,230510.398,242758.40900000004,251657.00699999998,277675.25800000003,294497.17500000005,307395.8410000001,314242.379,327926.30700000003,327057.889,303555.88800000004,312953.648,316500.2
Baja California,400156.971,451676.827,446781.453,406200.11299999995,425488.625,437529.217,402275.15400000004,414361.763,417816.039,436724.07800000004,467382.396,487452.211,511546.295,513177.249,548270.478,494337.73699999996,558044.575,631004.251,662820.8219999999,720343.964,790646.793,730554.237,696088.199,682996.9280000001,697268.689,716802.1710000001,772686.808,778767.048,756707.3190000001,658790.7119999999,686065.8649999999,698850.5070000001,726418.1060000001,733753.711,760856.967,795080.747,828692.2470000001,863600.6490000001,878816.8679999999,897460.3069999999,833360.969,901663.5159999997,929458.734
Baja California Sur,53015.905999999995,57736.19899999999,58188.199,57232.818999999996,59391.458999999995,60739.522000000004,59879.333999999995,61326.619999999995,62347.413,65210.463,67808.264,71483.58200000001,74828.893,72837.861,75145.064,72405.422,80971.99299999999,84520.69,86993.272,89307.071,95187.276,99668.467,97301.79699999999,102696.425,110723.35699999999,117708.46199999998,126685.37000000001,137545.25499999998,142084.05399999997,134464.676,138668.832,144956.375,147269.702,145215.69,147613.684,156072.034,163094.648,170784.40300000002,184618.10300000003,179624.217,152596.90199999997,170695.05,177420.703
Campeche,511362.33599999995,560971.2760000001,559721.988,523134.528,546199.162,566378.356,548649.862,570391.173,588026.452,614610.518,649387.919,671524.501,692158.838,687476.866,713798.595,678258.361,734002.007,777814.2150000001,808927.143,763456.631,826278.1900000001,892409.088,913435.1039999999,986877.724,998062.315,985831.2949999999,959641.0630000001,897799.8550000001,828677.1680000001,753908.784,730232.3240000001,711663.191,691262.0040000001,692549.897,685992.0249999999,700310.7410000002,663239.242,595666.96,564591.056,544913.526,502567.151,491693.55100000004,473100.974
Coahuila de Zaragoza,362298.762,401419.87,400947.441,372296.472,388155.755,399779.403,375949.169,384635.71300000005,387781.177,400158.299,423114.632,437256.445,460053.092,470418.456,479739.94200000004,466715.135,541594.61,593148.483,627310.172,640331.1950000001,655490.87,657960.994,693560.0140000001,725622.352,738323.009,751258.2829999998,798549.101,819995.3200000001,806977.0540000001,647795.108,775118.743,824838.4670000001,870634.531,864429.3829999999,902863.2409999999,897702.095,901719.484,941581.763,966054.662,974553.7520000001,862347.2379999999,916340.0070000001,922287.365
Colima,63715.01,69001.929,69593.669,68026.277,70501.03099999999,72487.649,71375.43800000001,73308.392,74614.03899999999,76928.025,80232.039,82613.489,84539.724,86396.612,90021.397,85408.456,91716.41100000001,95885.86200000001,103304.32400000001,106422.374,110550.51,108484.812,109196.395,106240.46100000001,107179.093,107631.263,114843.83300000001,122046.01299999999,124498.00600000002,118472.23499999999,125595.851,133676.15900000004,135599.865,133729.29600000003,135090.725,141029.12900000002,140705.23799999998,150360.096,153808.394,161220.90300000002,148214.30299999999,147102.422,148129.75400000002
Chiapas,200061.47,212022.284,213802.066,211467.22999999998,217413.498,221924.46899999998,221017.022,225978.77,230321.523,237262.252,246057.654,253835.721,262154.117,271140.547,281576.824,280089.472,277752.381,286887.615,304458.959,304224.778,309796.91299999994,308418.26,312380.021,314665.411,304083.36399999994,310293.582,321113.546,324676.53200000006,337160.57800000004,332432.799,355978.85699999996,361270.25500000006,370237.30499999993,360620.9770000001,374691.48699999996,364001.282,369919.287,359734.408,353600.11299999995,349375.4110000001,334056.846,349530.515,368788.557
Chihuahua,303189.898,336143.547,334520.594,315609.48199999996,327938.86699999997,336124.562,318334.84400000004,325130.196,326595.354,336951.958,357492.57200000004,370983.422,385367.50899999996,399928.053,417236.55899999995,403134.63899999997,435992.033,465482.547,507712.96499999997,535621.568,581263.8219999999,554947.182,545694.429,559444.758,577532.784,592161.2220000001,635597.824,664331.063,696713.272,626309.624,647629.946,662042.787,711480.757,732550.603,753194.78,803883.276,830488.5090000001,851284.313,853322.8040000001,862011.907,809562.1000000001,849224.2229999999,919617.1439999999
Ciudad de México,1831598.702,2023097.662,2017375.623,1937032.27,1992078.797,1989027.993,1890532.204,1896703.477,1897079.434,1966175.114,2060708.4740000002,2161707.696,2235098.068,2354923.799,2448263.341,2292168.7520000003,2381093.817,2556605.051,2657943.137,2739399.492,2903708.8219999997,2870934.157,2893524.3090000004,2842788.554,2962342.2139999997,2991075.2439999995,3134225.2170000006,3142463.801,3183429.429,3008811.7660000003,3125716.6909999996,3231440.239,3332208.721,3363394.3249999993,3412110.1980000003,3503520.1130000004,3571368.187999999,3646318.1789999995,3694574.8740000003,3688277.262,3292781.8149999995,3480721.600999999,3640387.943
Durango,138131.74899999998,149622.29,148864.493,142374.332,146541.785,149331.258,144410.954,147319.56,149135.741,153874.107,160987.56999999998,165970.86299999998,169449.99099999998,172783.065,181317.13,174420.963,183390.103,190883.331,206637.853,206787.114,208654.022,217801.317,218739.592,231278.92399999997,242836.198,235761.59900000002,241373.384,248235.60500000004,261332.53200000004,256632.61299999998,261476.686,273067.299,286058.274,299615.205,307939.663,300289.37600000005,305382.23400000005,304646.65700000006,308981.254,308659.342,283132.528,299795.41400000005,296963.122
Guanajuato,368213.095,405438.439,405843.98699999996,386976.711,401802.461,411054.671,395223.70399999997,404826.527,410582.652,426219.87,449866.898,467278.457,482646.44,496878.472,515053.908,498677.804,529479.3759999999,563561.208,609251.753,617668.996,653601.3459999999,657506.762,687741.3640000001,708927.872,728133.105,731639.285,769496.2629999999,778043.648,798104.4099999999,761825.9269999999,812725.516,854766.2,892378.879,931176.5,978988.6640000001,1026150.1880000001,1064742.519,1115370.824,1120602.8439999998,1101227.401,1023964.8910000001,1094692.3809999998,1128686.273
Guerrero,193774.99300000002,203265.67299999998,204231.274,201102.472,205097.447,207963.99899999998,205355.227,208160.52,210190.995,214534.793,221373.566,226957.173,231080.66,231366.829,244535.125,228791.872,233979.235,241019.011,252375.13999999998,254395.831,256193.563,258793.42200000002,256700.55099999998,254042.53999999995,265397.24,272647.21,280082.837,287333.39599999995,288164.177,282203.09699999995,290708.028,291758.33900000004,294551.278,299721.33300000004,320203.6670000001,314103.69499999995,313422.06000000006,308568.037,317844.94200000004,315286.0200000001,288103.575,299519.555,306830.76699999993
Hidalgo,211376.521,231728.335,231940.424,219671.13799999998,227993.872,234155.256,225346.551,231205.142,235179.785,243977.914,258198.40600000002,269826.384,282923.73699999996,291315.292,297707.217,255701.636,286643.929,297456.74299999996,330896.628,332950.914,337331.45399999997,334079.072,331453.157,331525.317,357756.18000000005,353466.25399999996,349080.409,359175.954,370254.812,354594.237,358637.29600000003,366544.30100000004,379811.021,379719.80799999996,397901.37799999997,413909.17900000006,418466.27,416408.562,418630.444,405465.08900000004,360340.863,384460.181,426819.094
Jalisco,770276.62,842629.9809999999,842329.3389999999,803836.743,831613.821,848102.532,816419.424,833612.505,843957.1510000001,872756.704,915367.582,947456.149,976925.373,1001233.1059999999,1031966.723,952802.1919999999,999054.0700000001,1073517.83,1160210.854,1202945.427,1259069.606,1237977.396,1224880.475,1212171.197,1246901.39,1274855.822,1340006.1010000003,1380125.9170000001,1408019.743,1315481.838,1393675.357,1433185.382,1488616.7970000003,1514072.5969999998,1567647.1730000002,1626750.8130000003,1676418.7359999998,1708140.018,1754179.5100000002,1768025.4790000003,1611603.326,1693742.816,1783505.051
México,937705.105,1021972.175,1020962.549,975680.885,1005942.034,1019987.9380000001,979495.3709999999,995129.263,1005115.8169999999,1039567.689,1090095.097,1131899.307,1168758.364,1201586.797,1239027.57,1148484.717,1241792.142,1349872.395,1429362.561,1477235.6919999998,1560108.787,1571190.184,1538761.6349999998,1533475.1709999996,1567254.003,1617553.74,1710985.648,1755709.4820000003,1766743.7930000003,1656805.1770000001,1773209.581,1852646.107,1911401.7169999997,1923371.6189999995,1966749.107,2007571.8499999999,2058752.8020000001,2166131.8370000003,2243797.9699999997,2189632.296,2011109.48,2125071.295,2184862.9790000003
