ENTIDAD,AMLO,Meade,Jaime,Margarita,Anaya,NULOS,Total Votes,AMLO %,Meade %,Jaime %,Margarita %,Anaya %,NULOS %
AGUASCALIENTES,190820.0,91229.0,33776.0,873.0,156789.0,12965.0,486452.0,39.23,18.75,6.94,0.18,32.23,2.67
BAJA CALIFORNIA,675810.0,95073.0,67433.0,1293.0,206904.0,23499.0,1070012.0,63.16,8.89,6.3,0.12,19.34,2.2
BAJA CALIFORNIA SUR,136806.0,20147.0,12050.0,440.0,40277.0,4760.0,214480.0,63.78,9.39,5.62,0.21,18.78,2.22
CAMPECHE,171328.0,61560.0,6974.0,319.0,34320.0,7620.0,282121.0,60.73,21.82,2.47,0.11,12.16,2.7
CHIAPAS,1106665.0,417732.0,29302.0,2693.0,150139.0,101463.0,1807994.0,61.21,23.1,1.62,0.15,8.3,5.61
CHIHUAHUA,441965.0,176103.0,90398.0,3067.0,298972.0,32809.0,1043314.0,42.36,16.88,8.66,0.29,28.66,3.14
CIUDAD DE MÉXICO,2670615.0,571719.0,191794.0,5662.0,1131245.0,98186.0,4669221.0,57.2,12.24,4.11,0.12,24.23,2.1
COAHUILA,515518.0,306343.0,59080.0,1811.0,265532.0,22749.0,1171033.0,44.02,26.16,5.05,0.15,22.68,1.94
COLIMA,178123.0,57421.0,14651.0,338.0,51434.0,8396.0,310363.0,57.39,18.5,4.72,0.11,16.57,2.71
DURANGO,247076.0,100387.0,34716.0,824.0,140865.0,13462.0,537330.0,45.98,18.68,6.46,0.15,26.22,2.51
GUANAJUATO,608766.0,330697.0,187231.0,3987.0,820676.0,62191.0,2013548.0,30.23,16.42,9.3,0.2,40.76,3.09
GUERRERO,844065.0,243320.0,20359.0,1265.0,187012.0,54041.0,1350062.0,62.52,18.02,1.51,0.09,13.85,4.0
HIDALGO,744219.0,229980.0,52597.0,1380.0,168049.0,33066.0,1229291.0,60.54,18.71,4.28,0.11,13.67,2.69
JALISCO,1181823.0,421929.0,197584.0,5596.0,978323.0,83924.0,2869179.0,41.19,14.71,6.89,0.2,34.1,2.93
MICHOACÁN,820449.0,275139.0,99972.0,3218.0,365506.0,71802.0,1636086.0,50.15,16.82,6.11,0.2,22.34,4.39
MORELOS,521571.0,83762.0,47427.0,1422.0,115045.0,21660.0,790887.0,65.95,10.59,6.0,0.18,14.55,2.74
MÉXICO,3552823.0,1271892.0,306638.0,7397.0,1269222.0,148997.0,6556969.0,54.18,19.4,4.68,0.11,19.36,2.27
NAYARIT,240273.0,49081.0,8160.0,339.0,60796.0,8973.0,367622.0,65.36,13.35,2.22,0.09,16.54,2.44
NUEVO LEÓN,551927.0,238337.0,262155.0,4728.0,548726.0,37560.0,1643433.0,33.58,14.5,15.95,0.29,33.39,2.29
OAXACA,1077520.0,292439.0,34426.0,1754.0,188740.0,57503.0,1652382.0,65.21,17.7,2.08,0.11,11.42,3.48
PUEBLA,1450901.0,401622.0,94803.0,3292.0,507230.0,82792.0,2540640.0,57.11,15.81,3.73,0.13,19.96,3.26
QUERÉTARO,350246.0,121532.0,61108.0,1578.0,288129.0,22826.0,845419.0,41.43,14.38,7.23,0.19,34.08,2.7
QUINTANA ROO,334458.0,53381.0,20777.0,624.0,80001.0,12483.0,501724.0,66.66,10.64,4.14,0.12,15.95,2.49
SAN LUIS POTOSÍ,413328.0,206889.0,63050.0,1602.0,261711.0,43284.0,989864.0,41.76,20.9,6.37,0.16,26.44,4.37
SINALOA,632646.0,181254.0,21646.0,954.0,125773.0,25540.0,987813.0,64.05,18.35,2.19,0.1,12.73,2.59
SONORA,462120.0,131504.0,45027.0,1403.0,124893.0,20161.0,785108.0,58.86,16.75,5.74,0.18,15.91,2.57
TABASCO,766515.0,87337.0,7631.0,532.0,75268.0,24509.0,961792.0,79.7,9.08,0.79,0.06,7.83,2.55
TAMAULIPAS,607278.0,182470.0,82881.0,2169.0,380290.0,28093.0,1283181.0,47.33,14.22,6.46,0.17,29.64,2.19
TLAXCALA,358631.0,65698.0,21502.0,642.0,56939.0,10416.0,513828.0,69.8,12.79,4.18,0.12,11.08,2.03
VERACRUZ,1780983.0,414481.0,112431.0,3198.0,905466.0,86474.0,3303033.0,53.92,12.55,3.4,0.1,27.41,2.62
YUCATÁN,330914.0,226568.0,29184.0,793.0,230173.0,17950.0,835582.0,39.6,27.11,3.49,0.09,27.55,2.15
ZACATECAS,307197.0,151462.0,31024.0,997.0,134541.0,19812.0,645033.0,47.63,23.48,4.81,0.15,20.86,3.07
